CQ,Questions,Sparql Query,Result,Topic
CQ. 39,What information do I need to provide to Telegram and how long the information is being stored? ,"select distinct ?Data ?StorageDuration where {
    ?TelegramDataRecipientRole oppo:actsIn oppo:FirstPartyDataRecipientRole.
    ?TelegramDataRecipientRole oppo:isRecipientOf ?Data.
    ?Data oppo:isProvidedBy ?TelegramUsers.
    ?Data oppo:isAbout ?TelegramUsers.
    ?TelegramDataRecipientRole oppo:hasPolicy ?Policy.
    ?Policy oppo:hasDataPractice ?Practice. 
    ?Practice oppo:hasDurationDescription ?StorageDuration.
    ?Practice oppo:actsOn ?Data.
}","12 information types, as_long_As_it_needs, until_it_is_changes, 12 Months","InformationTypes, Storage duration"
CQ. 3,What is the security mechanism the social media follows to keep my data secure?,"select  distinct ?SecurityMechanism ?SecurityMechanismType where {
    ?TelegramDataRecipientRole oppo:actsIn oppo:FirstPartyDataRecipientRole.
    ?TelegramDataRecipientRole oppo:hasPolicy ?Policy.
    ?Policy oppo:hasDataPractice ?Practice.
    ?Practice oppo:hasSecurityMechanism ?SecurityMechanism.
    ?SecurityMechanism rdf:type ?SecurityMechanismType.
}",EndToEndEncryption and twofactor authneticcation,Security mechanism
CQ. 5,Where does the social media store my video and photo?,"select distinct ?Location where{
    ?TelegramDataRecipientRole oppo:actsIn oppo:FirstPartyDataRecipientRole.
    ?TelegramDataRecip oppo:hasPolicy ?Policy.
    ?Policy oppo:hasDataPractice ?Practice. 
    ?Practice oppo:hasStorageLocation ?Location.
    ?Practice oppo:actsOn ?Data.
    ?data oppo:isAbout ?TelegramUser filter (?Data in (oppo:Photo, oppo:Video)).
}",Netherland,Location of the stored information
CQ. 40,Where and how does Telegram store my information?,"select ?location ?storagetype where{
    ?TelegramDataRecipientRole oppo:actsIn oppo:FirstPartyDataRecipientRole.
   ?TelegramDataRecipientRole oppo:hasPolicy ?Policy.
    ?Policy oppo:hasDataPractice ?Practice. 
   ?Practice oppo:hasStorageLocation ?location.
   ?Practice oppo:hasStorageEntity ?storagetype.
}","Netherland,Dataserver ",Location and storage types.
CQ. 23,How can I modify my personal information?,"select ?ModificationRequest where {
    ?TelegramDataRecipientRole oppo:actsIn oppo:FirstPartyDataRecipientRole.
    ?TelegramDataRecipientRole oppo:hasPolicy ?Policy.
    ?Policy oppo:hasDataPractice ?Practice.
    ?Practice rdf:type oppo:DataStorageRectificationPractice.
    ?Practice oppo:hasRequestType ?ModificationRequest.
}",@GDPRbot,Data Rectification
CQ. 31,What contents are stored for a maximum of 12 months?,"select ?Data  where{
    ?Organization oppo:actsIn oppo:FirstPartyDataRecipientRole.
    ?Organization oppo:hasPolicy ?Policy.
    ?policy oppo:hasDataPractice ?practice.
    ?practice oppo:hasDurationDescription ?Duration.
    ?Duration time:months ?Month filter (?Month <= (12)).
    ?practice oppo:actsOn ?Data.
    
}","Device Log, IP, general settings.",Duration Description
CQ. 25,Which of my personal information will be removed after I request to delete my account?,"select distinct ?Data where{
    ?organization oppo:actsIn oppo:FirstPartyDataRecipientRole. 
    ?organization oppo:hasPolicy ?policy.
    ?policy oppo:hasDataPractice ?practice.
    ?practice rdf:type oppo:DataStorageErasurePractice.
    ?Practice oppo:actsOn ?Data.
    ?organization oppo:isRecipientOf ?Data.
    ?Data oppo:isAbout ?user.
    
}",All 15 information!,Data Erasure
CQ. 41,How can I delete my account?,"select distinct ?DeletionRequest where {
    ?Organization oppo:actsIn oppo:FirstPartyDataRecipientRole.
    ?Organization oppo:hasPolicy ?Policy.
    ?Policy oppo:hasDataPractice ?Practice.
    ?Practice rdf:type oppo:DataStorageErasurePractice.
    ?Practice oppo:hasRequestType ?DeletionRequest.
}",@GDPRbot,DataErasurePractice
CQ. 42,Why does the OSN collect my cookie information?,"select ?Purpose where {
    ?organization oppo:actsIn oppo:FirstPartyDataRecipientRole.
    ?organization oppo:hasPolicy ?policy.
    ?policy oppo:hasDataPractice ?Practice. 
    ?Practice oppo:hasPurpose ?Purpose.
   ?Practice oppo:actsOn ?Data.
    ?organization oppo:isRecipientOf ?Data.
    ?Data oppo:isAbout ?TelegramUser filter (?Data in (oppo:CookieInformation)).
}
",ServiceProvision,Purpose
CQ. 29,How does the OSN use the personal information provided by me?,"select  distinct ?PurposeType  where {
    ?Organization oppo:actsIn oppo:FirstPartyDataRecipientRole.
    ?Organization oppo:hasPolicy ?Policy.
    ?Policy oppo:hasDataPractice ?Practice.
    ?Practice oppo:hasPurpose ?Purpose.
    ?Purpose rdf:type ?PurposeType.
    ?Practice oppo:actsOn ?Data.
    ?Data oppo:isAbout ?Individual.
    ?Individual rdf:type oppo:DataSubjectRole. 
    
}","ServiceProvision, TelegramPurpose",Purpose (require refinement)
CQ. 30,What are the contents that have no definite storage duration specified?,"select distinct ?Data where {
    ?organization oppo:actsIn oppo:FirstPartyDataRecipientRole.
    ?organization oppo:hasPolicy ?policy.
    ?policy oppo:hasDataPractice ?Practice. 
    ?Practice oppo:hasDurationDescription ?Duration.
    ?Duration rdf:type oppo:IndefiniteDurationDescription.
    ?Practice oppo:actsOn ?Data.
    ?organization oppo:isRecipientOf ?Data.
}","8 information types, (as long as telegram needs, and untill a particular information is changed.)",IndifinitedurationPractice
CQ. 32,How long does the OSN store my location information?,"
select ?Data ?Duration where {
    ?organization oppo:actsIn oppo:FirstPartyDataRecipientRole.
    ?organization oppo:hasPolicy ?policy.
    ?policy oppo:hasDataPractice ?Practice. 
    ?Practice oppo:hasDurationDescription ?Duration.
    ?Practice oppo:actsOn ?Data.
    ?Data oppo:isAbout ?User.
    ?organization oppo:isRecipientOf ?Data filter (?Data in (oppo:Location)).
}
",As_Long_Telegram Needs,Duration Description
CQ. 34,How long does it take the OSN to delete my account?,"select ?type ?Delay where {
    ?organization oppo:hasPolicy ?policy.
    ?policy oppo:hasDataPractice ?Practice. 
    ?Practice rdf:type oppo:DataStorageErasurePractice.
    ?Practice oppo:hasResponseDelay ?DeletionDuration.
    ?DeletionDuration ?type ?Delay.
}","48 , time:hour",Response Delay
CQ. 44,Who has access to my credit card information ?,"select ?Data ?DataReciever where {
    ?organization oppo:actsIn oppo:FirstPartyDataRecipientRole.
    ?organization oppo:hasPolicy ?policy.
    ?policy oppo:hasDataPractice ?Practice. 
    ?Practice rdf:type oppo:DataSecurityAccessPractice.
    ?Practice oppo:actsOn ?Data.
    ?Data oppo:isAbout ?User.
    ?DataReciever oppo:isRecipientOf ?Data filter (?Data in (oppo:CreditCardNumber)).
}",Thirdpartypayementprovier1,
CQ. 45,How long does the OSN store my photos?,"select ?Data ?Duration where {
    ?organization oppo:actsIn oppo:FirstPartyDataRecipientRole.
    ?organization oppo:hasPolicy ?policy.
    ?policy oppo:hasDataPractice ?Practice. 
    ?Practice oppo:hasDurationDescription ?Duration.
    ?Practice oppo:actsOn ?Data.
    ?Data oppo:isAbout ?User.
    ?organization oppo:isRecipientOf ?Data filter (?Data in (oppo:Photo)).
}",As_Long_As_Needs,Duration Description
