CQ,Reference Privacy Policy,Topics
"What types of personal data are being collected by the OSN, and how many of each type are there?",all OSN Policies (partial),Personal data types
What are the data that is being collected by the OSN?,all OSN Policies,"Data, data collection"
What information do I need to provide to the OSN and how long the information is being stored?,"Signal, Whatsapp, Telegram ","Data storage, duration, data"
What is the security mechanism the social media follows to keep my data secure?,"Whatsapp, Signal, Telegram","Security mechanism, Data"
Where does the social media store my video and photo?,Telegram,"Data storage, Data"
Where and how does the OSN store my information?,"Signal, Telegram","Data storage, duration, storage process, location"
How can I modify my personal information?,"Signal Policy , Telegram",
What contents are stored for a maximum of 12 months?,Telegram,"Data storage duration, definite duration"
Which of my personal information will be removed after I request to delete my account?,Most Policies,"Data erasure practice, Data"
How can I delete my account?,Almost all privacy policies,"Data erasure practice, Data"
How does the OSN use the personal information provided by me?,"Whatsapp, signal,Telegram","Purpose, personal data"
Why does the OSN collect my cookie information?,"Whats App,Telegram","Purpose, Data"
What are the contents that have no definite storage duration specified?,"WhatsApp, Telegram ","Indefinite duration, data storage practice, Data"
How long does the OSN store my location information?,"WhatsApp, Telegram ","Duration, Data Storage Practice, Specific Data - Location"
How long does it take the OSN to delete my account?,"WhatsApp, Telegram ","Duration, Data Erasure Practice "
Who has access to my credit card information ?,Most Policies,"Access practice, specific data- credit card information"
How long does the OSN store my photos?,Any OSN that collects media information,"Duration, data storage, specific data - media"
How  long does the social media typically store my public chat and private chat?,Any OSN that collects chats,"Duration, data storage, specific data - media"
What sensitive data (According to GDPR) is collected by the OSN?,Most Policies (mapped with GDPR),"Sensitive data, GDPR, OSN"
For what purpose do you use my data?,Most Policies,"purpose, personal data"
What data practices are included in the the OSN policy?,Any OSN policies,"Data practices, privacy policy"
Which data practices act on public chats?,Any OSN that collects chats,"Data practice, specific data type- chats"
Which data practices act on Location?,Any OSN that collects location,"Data practice, specific data type- location"
What security mechanisms are applied to my personal data collected by the OSN?,"Telegram, Whatsapp","Security mechanism, personal data"
Where does the OSN's data servers located?,Telegram,"Data storage, data storage location"
What methods are used by the OSN to encrypt which types of data?,"WhatsApp,Telegram","Data security mechanism, data types"
What authentication methods are supported by the OSN ?,Most Policies,Data security mechanism
What is the procedure for requesting the erasure of personal data on the OSN and how long does it take to process the request?,Most Policies,"Data erasure practice, Personal Data, Duration "
 Which types of personal data will be received by which third party?,Telegram,"Third-party access, personal data"
Which of my Identity data has been collected by the OSN and for which purpose?,Any OSN that collects identity information,"Purpose, data collection, identity data"
