Original CQ ID,Original Competency Question,Status,Mapped Operationalized CQ,Rationale
CQ1,What should be my minimum age to use the social media?,Not separately operationalized,,"Minimum-age requirements are outside OPPO's current retention, storage, and security scope."
CQ2,What information I must need to provide to create the social media account and how long those information is being stored?,Directly operationalized,Q3: What information do I need to provide to the OSN and how long the information is being stored?,Direct implementation of the data-provision and storage-duration information need.
CQ3,What is the security mechanism the social media follows to keep my data secure?,Directly operationalized,Q4: What is the security mechanism the social media follows to keep my data secure? | Q20: What data practices are included in the the OSN policy? | Q23: What security mechanisms are applied to my personal data collected by the OSN? | Q26: What authentication methods are supported by the OSN ?,"The general security requirement is directly evaluated by Q4 and further operationalized through the practice-level query Q20, the security-mechanism/data query Q23, and the authentication-specific query Q26."
CQ4,For which purposes does the OSN collect my location information?,Consolidated,Q19: For what purpose do you use my data?,"Covered by the broader purpose query, which retrieves purposes associated with policy-described data practices."
CQ5,Where does the social media store my video and photo?,Directly operationalized,Q5: Where does the social media store my video and photo?,Direct implementation of the storage-location information need for video and photo data.
CQ6,What kind of information does the OSN store about users? What information from third-parties can the OSN access that I did not provide?,Consolidated,"Q1: What types of personal data are being collected by the OSN, and how many of each type are there? | Q2: What are the data that is being collected by the OSN? | Q28: Which types of personal data will be received by which third party? | Q29: Which of my Identity data has been collected by the OSN and for which purpose?","The broad data-identification requirement is covered by Q1 and Q2; its third-party component is covered by Q28, and Q29 combines data-category identification with purpose for identity data."
CQ7,"Does the OSN access my contacts? if Yes, then for which purpose? What security mechanism they follow while storing my contact information?",Consolidated,Q19: For what purpose do you use my data? | Q23: What security mechanisms are applied to my personal data collected by the OSN?,The purpose component is covered by Q19 and the security-mechanism/data component by Q23.
CQ8,What personal information does the OSN store when I contact customer support? For what purposes can the OSN use that data?,Consolidated,Q19: For what purpose do you use my data?,The purpose component is covered by the broader purpose query; the customer-support-specific formulation was not implemented separately.
CQ9,How can I contact the customer center?,Not separately operationalized,,Customer-support contact procedures are outside OPPO's current ontology scope.
CQ10,How will I get notified if the OSN changes any of its data practises?,Not separately operationalized,,Policy-change notification mechanisms are outside OPPO's current ontology scope.
CQ11,Where does the social media typically store my message?,Consolidated,Q6: Where and how does the OSN store my information? | Q21: Which data practices act on public chats? | Q24: Where does the OSN's data servers located? | Q30: What personal data does the OSN describe as storing on its servers?,"The message-storage requirement is consolidated into the general storage query (Q6), the public-chat practice query (Q21), the server-location query (Q24), and the server-stored-data query (Q30)."
CQ12,"If my message is unable to be delivered to the recipient, where the message is stored? How long?",Consolidated,Q3: What information do I need to provide to the OSN and how long the information is being stored? | Q6: Where and how does the OSN store my information? | Q18: How  long does the social media typically store my public chat and private chat? | Q24: Where does the OSN's data servers located?,"The message-storage requirement is consolidated into general duration/storage queries (Q3 and Q6), the chat-specific duration query (Q18), and the server-location query (Q24)."
CQ13,What security mechanisms are followed to store media information?,Consolidated,Q23: What security mechanisms are applied to my personal data collected by the OSN? | Q25: What methods are used by the OSN to encrypt which types of data?,Covered by the general security-mechanism/data query and the encryption-specific query.
CQ14,What security mechanism is followed by the social media in general?,Consolidated,Q4: What is the security mechanism the social media follows to keep my data secure?,Covered by the general security-mechanism query.
CQ15,How long my undelivered messages are being stored in the server?,Consolidated,Q3: What information do I need to provide to the OSN and how long the information is being stored? | Q18: How  long does the social media typically store my public chat and private chat?,The message-retention requirement is covered by the general data/duration query Q3 and operationalized more specifically for public/private chat in Q18.
CQ16,What are the information the OSN collects in addition and how long they are being stored?,Consolidated,Q2: What are the data that is being collected by the OSN? | Q3: What information do I need to provide to the OSN and how long the information is being stored?,The data and duration components are covered by the general data and storage-duration queries.
CQ17,Does the company share user's information with a third party for advertisements?,Consolidated,Q19: For what purpose do you use my data? | Q28: Which types of personal data will be received by which third party?,Advertising purpose is covered by Q19 and third-party receipt by Q28.
CQ18,How can a third party see my information?,Consolidated,Q28: Which types of personal data will be received by which third party?,Covered by the query identifying third-party recipients and the personal data they receive.
CQ19,For what purpose do you use my data?,Directly operationalized,Q19: For what purpose do you use my data?,Direct implementation of the general purpose information need.
CQ20,In what way you allow a third party to collect information about me?,Consolidated,Q28: Which types of personal data will be received by which third party?,Covered at the policy-ABox level by the third-party recipient/data query; the collection mechanism itself is not separately queried.
CQ21,Does the company share user's information with a third party for advertisements?,Consolidated,Q19: For what purpose do you use my data? | Q28: Which types of personal data will be received by which third party?,Duplicate/overlapping third-party advertising information need covered by Q19 and Q28.
